PersonId,Guid,District,CouncilDistrict,FirstName,LastName,Gender,Title,Party,Active,PhotoURL,FacebookURL,TwitterURL,TwitterHandle,InstagramURL,InstagramHandle,Website,Email,DistrictOfficeAddress,DistrictOfficeCity,DistrictOfficeState,DistrictOfficeZip,DistrictOfficePhone,DistrictOfficeFax,LegislativeOfficeAddress,LegislativeOfficeCity,LegislativeOfficeState,LegislativeOfficeZip,LegislativeOfficePhone,LegislativeOfficeFax,Version,LastUpdatedUTC
7562,3AF9D92F-B7A6-4D20-BD98-5850F37C73CC,1,NYCC01,Margaret,Chin,Female,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-1.jpg,https://www.facebook.com/councilmembermargaret.chin,https://twitter.com/CM_MargaretChin,CM_MargaretChin,https://www.instagram.com/teammargaretchin/,teammargaretchin,https://council.nyc.gov/district-1,Mchin@council.nyc.gov,"101-105 Lafayette Street, 9th Floor (Suite C)",New York,NY,10013,212-587-3159,212-587-3138,"250 Broadway, 17th Floor - Suite 1762",New York,NY,10007,212-788-7259,,AAAAAOXMt2A=,2015-08-25T15:57:04.463
7740,84B9F81D-DD16-4BE7-83AF-8A56BD56EF9E,2,NYCC02,Carlina,Rivera,Female,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-2.jpg,https://www.facebook.com/carlinalrivera,https://twitter.com/CarlinaRivera,CarlinaRivera,https://www.instagram.com/carlinalrivera/,carlinalrivera,https://council.nyc.gov/district-2,Crivera2@council.nyc.gov,209 East 3rd Street,New York,NY,10009,212-677-1077,212-677-1990,250 Broadway - 18th Floor - Suite 1808,New York,NY,10007,212-788-7366,,AAAAAOXXE9E=,2017-12-05T15:31:47.953
7631,5F853C21-2F5B-4958-8588-EF0B7963CA0F,3,NYCC03,Corey,Johnson,Male,Speaker,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-3.jpg,https://www.facebook.com/corey.d.johnson,https://twitter.com/CoreyinNYC,CoreyinNYC,https://www.instagram.com/speakercoreyjohnson/,speakercoreyjohnson,https://council.nyc.gov/district-3,Corey.Johnson@council.nyc.gov,224 West 30th Street (Suite 1206),New York,NY,10001,212-564-7757,212-564-7347,250 Broadway - 18th Floor - Suite 1856,New York,NY,10007,212-788-6979,,AAAAAOXGi28=,2015-08-25T15:57:04.463
7741,6A9CF4B9-BA6D-45FB-99B7-55721EB77E80,4,NYCC04,Keith,Powers,Male,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-4.jpg,https://www.facebook.com/keithdynamite,https://twitter.com/KeithPowersNYC,KeithPowersNYC,https://www.instagram.com/keithpowersnyc/,keithpowersnyc,https://council.nyc.gov/district-4,Kpowers@council.nyc.gov,211 East 43rd Street (Room 1205),New York,NY,10017,212-818-0580,212-818-0706,250 Broadway - 18th Floor - Suite 1815,New York,NY,10007,212-788-7393,,AAAAAOXMjVk=,2017-12-05T15:33:01.107
7632,016BEC4D-8705-4530-92B5-E31AAB115748,5,NYCC05,Ben,Kallos,Male,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-5.jpg,https://www.facebook.com/benkallos,https://twitter.com/kallos,kallos,https://www.instagram.com/benkallos/,benkallos,https://council.nyc.gov/district-5,Bkallos@council.nyc.gov,244 East 93rd Street,New York,NY,10128,212-860-1950,212-980-1828,250 Broadway - 18th Floor - Suite 1807,New York,NY,10007,212-788-6865,,AAAAAOXMjj8=,2015-08-25T15:57:04.463
7639,5A77DDB4-93DF-4936-9DDE-A0751E3CD238,6,NYCC06,Helen,Rosenthal,Female,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-6.jpg,https://www.facebook.com/CouncilMemberHelenRosenthal,https://twitter.com/HelenRosenthal,HelenRosenthal,https://www.instagram.com/helenrosenthal/,helenrosenthal,https://council.nyc.gov/district-6,Hrosenthal@council.nyc.gov,563 Columbus Avenue ,New York,NY,10024,212-873-0282,212-873-0279,250 Broadway - 17th Floor - Suite 1765,New York,NY,10007,212-788-6975,,AAAAAOXsA0g=,2015-08-25T15:57:04.463
7634,DB7D700B-3D77-42F9-AD21-F21572485CC0,7,NYCC07,Mark,Levine,Male,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-7.jpg,https://www.facebook.com/markdlevine,https://twitter.com/MarkLevineNYC,MarkLevineNYC,https://www.instagram.com/marklevinenyc/,marklevinenyc,https://council.nyc.gov/district-7,Mlevine@council.nyc.gov,"500 West 141st Street
Phone (212) 928-6814
Fax (646) 582-1408

991 Amsterdam Ave
Phone (212) 928-6814
Fax (646) 582-1408",New York,NY,10031,212-928-6814,646-582-1408,250 Broadway - 18th Floor - Suite 1816,New York,NY,10007,212-788-7007,,AAAAAOXsBTo=,2015-08-25T15:57:04.463
7742,95079EB4-F2ED-4A98-B2C2-1BA923F2D90E,8,NYCC08,Diana,Ayala,Female,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-8.jpg,https://www.facebook.com/diana.ayala.161,https://twitter.com/DianaAyalaNYC,DianaAyalaNYC,https://www.instagram.com/diana.ayala.161/,diana.ayala.161,https://council.nyc.gov/district-8,DAyala@council.nyc.gov,"214 Saint Ann's Avenue, Bronx, NY 10454
Phone (347) 297-4922
Fax (347) 270-1213

105 East 116th Street, New York, NY 10029
Phone (212) 828-9800
Fax (212) 722-6378",Bronx and Manhattan,NY,10454,212-828-9800,212-722-6378,250 Broadway - 18th Floor - Suite 1880,New York,NY,10007,212-788-6960,,AAAAAOXXFHs=,2017-12-05T15:33:44.797
430,46189A2E-08C4-4D21-85F7-035945A62E45,9,NYCC09,Bill,Perkins,Male,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-9.jpg,https://www.facebook.com/profile.php?id=100018744134062,,,https://www.instagram.com/billperkinsd09/,billperkinsd09,https://council.nyc.gov/district-9,Bperkins@council.nyc.gov,ACP Jr. Sta. Ofc-163 W. 125 Street,New York,NY,10027,212-678-4505,212-864-4379,250 Broadway - 18th Floor - Suite 1821,New York,NY,10007,212-788-7397,,AAAAAOXsBrE=,2015-08-25T15:57:04.463
7541,35E6AEDA-5429-4C3A-BD19-4E250698DCD2,10,NYCC10,Ydanis,Rodriguez,Male,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-10.jpg,https://www.facebook.com/ydanis.rodriguez.1,https://twitter.com/ydanis,ydanis,https://www.instagram.com/ydanis_rodriguez/,ydanis_rodriguez,https://council.nyc.gov/district-10,Yrodriguez@council.nyc.gov,618 West 177 Street,New York,NY,10033,917-521-2616,917-521-1293,250 Broadway - 17th Floor - Suite 1763,New York,NY,10007,212-788-7053,,AAAAAOXsBcI=,2015-08-25T15:57:04.463
7624,D45A07AD-97F3-4C8A-AE2B-E3F9906EC4AA,11,NYCC11,Andrew,Cohen,Male,Council Member,Democrat,1,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-11.jpg,https://www.facebook.com/Council Member-Andrew-Cohen-402337503202703,https://twitter.com/AndrewCohenNYC,AndrewCohenNYC,https://www.instagram.com/andrewcohennyc/,andrewcohennyc,https://council.nyc.gov/district-11,ACohen@council.nyc.gov,"277 West 231st Street, 10463
Phone (718) 549-7300
Fax (718) 549-9945

3450 Dekalb Avenue, 10467
Phone (718) 882-4000 x353


",Bronx,NY,10463,718-549-7300,718-549-9945,250 Broadway - 18th Floor - Suite 1868,New York,NY,10007,212-788-7080,,AAAAAOXsBms=,2015-08-25T15:57:04.463
